CPU3  9982215570725 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4dae9914, cur_budget = 0x00000000002621b8 ]
CPU3  9982224202497 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4e471478, cur_budget = 0x00000000002621b8 ]
CPU3  9982232681082 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4e471f3b, cur_budget = 0x00000000002621b8 ]
CPU3  9982241159754 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4e472775, cur_budget = 0x00000000002621b8 ]
CPU3  9982249638097 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4e472f94, cur_budget = 0x00000000002621b8 ]
CPU3  9982258122789 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4edfaaf8, cur_budget = 0x00000000002621b8 ]
CPU3  9982266601395 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4edfb5bb, cur_budget = 0x00000000002621b8 ]
CPU3  9982275079937 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4edfbdf5, cur_budget = 0x00000000002621b8 ]
CPU3  9982283558491 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4edfc614, cur_budget = 0x00000000002621b8 ]
CPU3  9982292045825 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa4f784178, cur_budget = 0x00000000002621b8 ]
CPU3  9982300524636 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa4f784c3b, cur_budget = 0x00000000002621b8 ]
CPU3  9982309003952 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa4f785475, cur_budget = 0x00000000002621b8 ]
CPU3  9982317482202 (+ )  rtds:schedule     [ dom:vcpu = 0x00020003, cur_deadline = 0x000002aa4f785c94, cur_budget = 0x00000000002621b8 ]
CPU3  9982325974355 (+ )  rtds:schedule     [ dom:vcpu = 0x00020000, cur_deadline = 0x000002aa5010d7f8, cur_budget = 0x00000000002621b8 ]
CPU3  9982334455995 (+ )  rtds:schedule     [ dom:vcpu = 0x00020001, cur_deadline = 0x000002aa5010e2bb, cur_budget = 0x00000000002621b8 ]
CPU3  9982342935924 (+ )  rtds:schedule     [ dom:vcpu = 0x00020002, cur_deadline = 0x000002aa5010eaf5, cur_budget = 0x00000000002621b8 ]
